"trait","marker","chromosome",position,"gene","feature",z-score
"plant height","SCRI_RS_124040","chrUNK",460,"","",2.2831505356864
"plant height","SCRI_RS_225532","chr6H",143256754,"","",2.2831505356864
"plant height","SCRI_RS_150519","chr2H",766082209,"","",1.7567072165467
"plant height","12_30344","chr7H",180474019,"","",1.7374368284543
"plant height","BK_16","chr2H",29124351,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",1.730378805195
"plant height","BK_14","chr2H",29127039,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",1.7069150075387
"plant height","BK_12","chr2H",29125791,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",1.7062589526212
"plant height","12_30872","chr2H",29124597,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",1.7058024082179
"plant height","11_10256","chr7H",217287328,"","",1.6700591679065
"plant height","11_21509","chr6H",415952337,"","",1.6311664773879
"plant height","SCRI_RS_198370","chrUNK",2260,"","",1.6255298172836
"plant height","SCRI_RS_173914","chr7H",340745498,"","",1.6185970806182
"plant height","BK_15","chr2H",29127449,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",1.6084797999401
"plant height","12_30871","chr2H",29127021,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",1.5626104128302
"plant height","SCRI_RS_128706","chr3H",197445741,"MLOC_10540","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0UFR6]",1.5592849704192
"plant height","SCRI_RS_230959","chr7H",8003657,"","",1.5346921498163
"plant height","11_21070","chr4H",18337769,"MLOC_76824","gene, protein_coding, Peptidyl-prolyl cis-trans isomerase  [Source:UniProtKB/TrEMBL;Acc:M0Z4F9]",1.5255215885814
"plant height","12_31120","chr7H",176885969,"","",1.5213949079307
"plant height","11_20422","chr4H",18759288,"","",1.5128474230792
"plant height","12_10777","chr2H",26199616,"MLOC_55450","gene, protein_coding, 2-oxoacid dehydrogenases acyltransferase family protein [Source:Projected from Arabidopsis thaliana (AT3G06850) TAIR;Acc:AT3G06850]",1.4947299304537
"plant height","12_30870","chr2H",29126143,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",1.4868020978744
"plant height","11_20885","chr7H",176154907,"","",1.4806565667163
"plant height","11_20302","chr4H",16669632,"","",1.4738037458585
"plant height","11_21528","chr7H",49445658,"","",1.4730538972066
"plant height","SCRI_RS_236580","chr7H",34402129,"","",1.4702381406413
"plant height","11_20777","chr4H",19930065,"","",1.4590988569465
"plant height","SCRI_RS_160602","chr7H",34820934,"","",1.4447346638562
"plant height","SCRI_RS_56","chrUn",81723429,"","",1.4434078057046
"plant height","11_10064","chr6H",15802022,"","",1.4415862637527
"plant height","11_10821","chr3H",633085996,"","",1.4299381115658
"plant height","11_10094","chr5H",579653238,"","",1.4280984368378
"plant height","11_10868","chr6H",16876562,"","",1.4171261701151
"plant height","11_11495","chr7H",10416399,"","",1.4155775696002
"plant height","SCRI_RS_137464","chr6H",374867096,"","",1.4120753427955
"plant height","12_11253","chr6H",404557293,"","",1.3997530235736
"plant height","11_10882","chr6H",34582877,"","",1.3888023602914
"plant height","11_21418","chr4H",19183790,"","",1.3713941083798
"plant height","11_20109","chr4H",19753671,"","",1.3693928979169
"plant height","11_20636","chr6H",499364199,"","",1.3687348726045
"plant height","SCRI_RS_175756","chr7H",7759980,"","",1.3643974572056
"plant height","12_11386","chr6H",437328632,"","",1.3481060716291
"plant height","11_20192","chr7H",33043618,"","",1.3426911653334
"plant height","11_10127","chr5H",505799623,"","",1.3420652506659
"plant height","11_21469","chr6H",498089634,"","",1.3411096754907
"plant height","11_11329","chr6H",501893886,"","",1.3389236455701
"plant height","SCRI_RS_221609","chr1H",367456204,"MLOC_70229","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YKH2]",1.3380330702669
"plant height","SCRI_RS_152642","chrUNK",1140,"","",1.3362332784747
"plant height","SCRI_RS_215080","chr2H",46150175,"MLOC_74565","gene, protein_coding, potassium transporter 2 [Source:Projected from Arabidopsis thaliana (AT2G40540) TAIR;Acc:AT2G40540]",1.3249709763511
"plant height","11_20680","chr4H",19087562,"MLOC_43140","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0W3S3]",1.31938931747
"plant height","SCRI_RS_221886","chr2H",655481306,"","",1.3037343746879
"plant height","12_31368","chr5H",379059639,"","",1.3018910189703
"plant height","12_30329","chr7H",26188987,"","",1.3015867907107
"plant height","12_31011","chr3H",462699422,"","",1.3015828675987
"plant height","SCRI_RS_204810","chr1H",367826176,"MLOC_73100","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0YUF6]",1.3001484689178
"plant height","11_20247","chrUNK",130,"","",1.2979682234951
"plant height","12_10979","chr7H",48001348,"","",1.2963362603264
"plant height","11_20646","chr5H",636606382,"","",1.2947895246188
"plant height","SCRI_RS_157444","chr5H",9733786,"","",1.2942979708293
"plant height","11_11067","chr6H",404560107,"","",1.2915960935615
