"trait","marker","chromosome",position,"gene","feature",z-score
"grain yield","11_21259","chr3H",48467899,"HORVU3Hr1G018530","gene, protein_coding",2.1251661111887
"grain yield","SCRI_RS_3336","chrUNK",2790,"","",1.8196034624904
"grain yield","12_30870","chr2H",29126143,"HORVU2Hr1G013400","gene, protein_coding",1.7412122549832
"grain yield","12_30872","chr2H",29124597,"HORVU2Hr1G013400","gene, protein_coding",1.6260783226811
"grain yield","SCRI_RS_133026","chr7H",530981943,"HORVU7Hr1G087940","gene, protein_coding, Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B [Source:UniProtKB/TrEMBL;Acc:F2CVE0]",1.617896323661
"grain yield","SCRI_RS_219581","chr7H",534010525,"HORVU7Hr1G088210","gene, protein_coding",1.6131029002369
"grain yield","11_21390","chr5H",564846729,"HORVU5Hr1G081500","gene, protein_coding",1.5958357950967
"grain yield","SCRI_RS_229585","chr7H",523658014,"HORVU7Hr1G086810","gene, protein_coding",1.5878757841646
"grain yield","SCRI_RS_7523","chrUNK",2880,"","",1.5859444786522
"grain yield","SCRI_RS_231912","chrUNK",2640,"","",1.5604078947827
"grain yield","SCRI_RS_122512","chr7H",522444718,"HORVU7Hr1G086570","gene, protein_coding",1.5509225633102
"grain yield","SCRI_RS_207238","chr7H",528585294,"HORVU7Hr1G087700","gene, protein_coding",1.534304895852
"grain yield","SCRI_RS_181725","chr4H",595795292,"HORVU4Hr1G074830","gene, protein_coding",1.5229306298627
"grain yield","SCRI_RS_230083","chr7H",520952853,"HORVU7Hr1G086170","gene, protein_coding",1.5127524128686
"grain yield","SCRI_RS_103902","chr7H",521506516,"","",1.4937996149233
"grain yield","SCRI_RS_204771","chr7H",521707430,"","",1.4896217966805
"grain yield","11_20568","chr5H",617780015,"HORVU5Hr1G103890","gene, protein_coding",1.4689183571811
"grain yield","11_10283","chr3H",694263172,"HORVU3Hr1G115820","gene, protein_coding",1.4659240661736
"grain yield","SCRI_RS_181154","chr7H",521772846,"HORVU7Hr1G086420","gene, protein_coding",1.4566345615834
"grain yield","SCRI_RS_143118","chr7H",521771595,"HORVU7Hr1G086420","gene, protein_coding",1.4414067416802
"grain yield","12_30871","chr2H",29127021,"HORVU2Hr1G013400","gene, protein_coding",1.4288557479021
"grain yield","11_20023","chr3H",617763235,"HORVU3Hr1G086540","gene, protein_coding",1.4177782981274
"grain yield","12_10777","chr2H",26199616,"HORVU2Hr1G012440","gene, protein_coding",1.4099243299685
"grain yield","12_20345","chr3H",694227911,"HORVU3Hr1G115820","gene, protein_coding",1.4033750749744
"grain yield","12_10982","chr7H",488307674,"HORVU7Hr1G081770","gene, protein_coding",1.3946042641237
"grain yield","SCRI_RS_190352","chr7H",518163653,"HORVU7Hr1G085660","gene, protein_coding",1.3840809933361
"grain yield","11_11448","chr5H",600139654,"HORVU5Hr1G095990","gene, protein_coding",1.3821449567148
"grain yield","11_20236","chr5H",509768671,"HORVU5Hr1G066960","gene, protein_coding",1.3756619425265
"grain yield","12_10125","chr7H",489497799,"HORVU7Hr1G081930","gene, protein_coding",1.3687210012405
"grain yield","11_11405","chr4H",54542552,"HORVU4Hr1G014730","gene, protein_coding",1.3664653693396
"grain yield","11_20356","chr3H",55590274,"HORVU3Hr1G019540","gene, protein_coding",1.3651044670291
"grain yield","12_30790","chr7H",496253471,"HORVU7Hr1G082540","gene, protein_coding",1.3631137932393
"grain yield","11_21212","chr3H",617339425,"HORVU3Hr1G086480","gene, protein_coding",1.3504678858753
"grain yield","11_21161","chr3H",617523850,"HORVU3Hr1G086510","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DZW3]",1.3439739237453
"grain yield","12_30135","chr3H",695935673,"HORVU3Hr1G116470","gene, protein_coding",1.3418157526382
"grain yield","12_30999","chr7H",528801086,"","",1.3361062183774
"grain yield","12_30880","chr7H",67729137,"HORVU7Hr1G033230","gene, protein_coding",1.3354515032679
"grain yield","12_30199","chr7H",522445562,"HORVU7Hr1G086570","gene, protein_coding",1.3320189210269
"grain yield","12_30505","chr1H",471473363,"HORVU1Hr1G066240","gene, protein_coding",1.3306561438489
"grain yield","11_20896","chr7H",521711088,"HORVU7Hr1G086410","gene, protein_coding, Serine/threonine-protein phosphatase [Source:UniProtKB/TrEMBL;Acc:F2D6R2]",1.3302232969151
