"trait","marker","chromosome",position,"gene","feature",z-score
"heading date","12_30870","chr2H",29126143,"HORVU2Hr1G013400","gene, protein_coding",2.6403471664903
"heading date","12_30084","chr3H",634076447,"HORVU3Hr1G090970","gene, protein_coding",2.2434929540196
"heading date","12_30265","chr2H",525482637,"HORVU2Hr1G073030.1","transcript, nontranslating_CDS",2.1993151996071
"heading date","11_10685","chr2H",516165724,"","",2.1690089465841
"heading date","12_30224","chr2H",464532411,"HORVU2Hr1G066790","gene, protein_coding",2.1629289731266
"heading date","11_10191","chr2H",532288289,"HORVU2Hr1G073760","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DTT4]",2.1574167827689
"heading date","11_21399","chr2H",534370798,"HORVU2Hr1G073920","gene, protein_coding",2.1503808913835
"heading date","11_11384","chr2H",491105224,"HORVU2Hr1G069710","gene, protein_coding",2.1241643016742
"heading date","11_20251","chr2H",474752381,"HORVU2Hr1G067750","gene, protein_coding",2.0713159798756
"heading date","11_10358","chr2H",212172560,"HORVU2Hr1G042270","gene, protein_coding",2.0549144541872
"heading date","12_10218","chr7H",40109823,"HORVU7Hr1G024670","gene, protein_coding",1.9932477176278
"heading date","11_20390","chr2H",520261737,"HORVU2Hr1G072500","gene, protein_coding",1.9815294029297
"heading date","11_20887","chr2H",520778494,"HORVU2Hr1G072580","gene, protein_coding",1.9727048149
"heading date","11_20532","chr2H",513918258,"HORVU2Hr1G071880","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DV27]",1.9692638154121
"heading date","11_11178","chr2H",373690428,"HORVU2Hr1G057880","gene, protein_coding",1.9425782311687
"heading date","11_10317","chr2H",383104840,"HORVU2Hr1G058700","gene, protein_coding",1.9418975782341
"heading date","12_11008","chr1H",509765620,"HORVU1Hr1G075110","gene, protein_coding",1.9328252741772
"heading date","12_11324","chrUn",21735573,"","",1.9321045097456
"heading date","11_20669","chr2H",405862782,"HORVU2Hr1G060730","gene, protein_coding",1.9301415558432
"heading date","12_11504","chr2H",520773245,"HORVU2Hr1G072580","gene, protein_coding",1.9287053345533
"heading date","11_11354","chr2H",248552965,"","",1.9025062687357
"heading date","12_10099","chr2H",253188603,"HORVU2Hr1G046740","gene, protein_coding",1.8997066114017
"heading date","11_20039","chr2H",235963453,"HORVU2Hr1G045140","gene, protein_coding",1.89793610703
"heading date","12_10474","chr2H",238207611,"","",1.8978721108854
"heading date","11_20417","chr2H",254972206,"HORVU2Hr1G046860","gene, protein_coding",1.8932823942836
"heading date","11_20458","chr2H",240221324,"HORVU2Hr1G045690","gene, protein_coding",1.8871121289129
"heading date","11_11133","chr2H",185517764,"HORVU2Hr1G038990","gene, protein_coding",1.8822723903573
"heading date","12_30561","chr2H",351833165,"HORVU2Hr1G056040","gene, protein_coding",1.8794330239069
"heading date","12_31175","chr2H",318877861,"","",1.8788811261156
"heading date","12_30582","chr2H",294631197,"","",1.8783396501272
"heading date","11_20160","chr2H",246219296,"HORVU2Hr1G046290","gene, protein_coding",1.8659288482712
"heading date","12_30514","chr2H",399549868,"HORVU2Hr1G060010","gene, protein_coding",1.8544223818054
"heading date","12_30179","chr2H",274546401,"HORVU2Hr1G048870","gene, protein_coding",1.8520227367615
"heading date","11_10624","chr2H",226796699,"HORVU2Hr1G043890","gene, protein_coding",1.8384117351463
"heading date","11_10012","chr2H",219489966,"HORVU2Hr1G043220","gene, protein_coding",1.8158660973383
"heading date","11_20585","chr2H",494259017,"HORVU2Hr1G070090","gene, protein_coding",1.8078340818693
"heading date","12_30853","chr2H",201118744,"","",1.806160927837
"heading date","11_10796","chr2H",192278372,"HORVU2Hr1G039930","gene, protein_coding",1.7980600170538
"heading date","11_20126","chr7H",39065208,"HORVU7Hr1G024310","gene, protein_coding",1.7955370551697
"heading date","12_31186","chr4H",530354822,"HORVU4Hr1G063270","gene, protein_coding",1.7945078311348
"heading date","12_30828","chr2H",219489782,"","",1.7903990241832
"heading date","11_11046","chr2H",205975238,"HORVU2Hr1G041610","gene, protein_coding",1.7884015255666
"heading date","11_21286","chr2H",210132420,"HORVU2Hr1G042120","gene, protein_coding",1.7711921893293
"heading date","11_10070","chr2H",202976499,"HORVU2Hr1G041270","gene, protein_coding",1.7532546676209
"heading date","11_10602","chr2H",197904597,"HORVU2Hr1G040780","gene, protein_coding",1.7512383182731
"heading date","12_10035","chr2H",463231120,"HORVU2Hr1G066680","gene, protein_coding",1.7314868567812
"heading date","12_30323","chr2H",538202423,"","",1.7233565792587
"heading date","12_30275","chr2H",540085329,"","",1.7222719498244
"heading date","12_30634","chr2H",197586042,"","",1.6874434422802
"heading date","11_21491","chr7H",53441694,"HORVU7Hr1G028840","gene, protein_coding",1.6691173237267
"heading date","12_10485","chr2H",181669695,"HORVU2Hr1G038570","gene, protein_coding",1.6537623901244
"heading date","12_30496","chr7H",116658838,"HORVU7Hr1G041710","gene, protein_coding",1.6360655675596
"heading date","12_10103","chrUn",32722337,"HORVU0Hr1G006020","gene, protein_coding",1.608445246191
"heading date","12_30528","chr7H",52802568,"HORVU7Hr1G028670","gene, protein_coding",1.5920992506688
"heading date","12_30060","chr4H",495699304,"HORVU4Hr1G059250","gene, protein_coding",1.5901628761237
"heading date","12_30250","chr3H",597724093,"HORVU3Hr1G082110","gene, protein_coding",1.5808835267757
"heading date","12_10088","chr4H",494330606,"HORVU4Hr1G059130","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2D5Z0]",1.5770303902758
"heading date","12_31297","chr4H",492500731,"HORVU4Hr1G059010","gene, protein_coding",1.56721029862
"heading date","12_30847","chr5H",560571147,"HORVU5Hr1G080420","gene, protein_coding",1.5614695283148
"heading date","12_30846","chr5H",560346210,"","",1.5532656266867
"heading date","12_31319","chr1H",513231576,"HORVU1Hr1G076170","gene, protein_coding",1.5506946840862
"heading date","12_30854","chr5H",559462764,"HORVU5Hr1G080230","gene, protein_coding, C-repeat binding factor 9 [Source:UniProtKB/TrEMBL;Acc:Q3T5P1]",1.5184026716108
"heading date","12_30852","chr5H",560732040,"HORVU5Hr1G080450","gene, protein_coding",1.5079608571185
"heading date","12_10777","chr2H",26199616,"HORVU2Hr1G012440","gene, protein_coding",1.5023143726125
"heading date","12_30626","chr6H",542829950,"HORVU6Hr1G080770","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CXD7]",1.5018348599378
"heading date","12_10657","chr7H",82213134,"HORVU7Hr1G036070.3","transcript, nontranslating_CDS",1.5009314202676
"heading date","12_31252","chr2H",559011564,"HORVU2Hr1G077200","gene, protein_coding",1.4975691720307
"heading date","12_31152","chr1H",520099770,"HORVU1Hr1G078370","gene, protein_coding",1.4946142441091
"heading date","12_30724","chr2H",567016838,"HORVU2Hr1G078250","gene, protein_coding",1.4873175658637
"heading date","12_11278","chr2H",567404068,"HORVU2Hr1G078350","gene, protein_coding, Peptidylprolyl isomerase [Source:UniProtKB/TrEMBL;Acc:F2D5P0]",1.4845444659017
"heading date","12_30108","chr2H",556024145,"HORVU2Hr1G076910","gene, protein_coding",1.4841582446331
"heading date","12_31081","chr1H",558224306,"HORVU1Hr1G095400","gene, protein_coding",1.4811118778016
"heading date","12_30499","chr1H",381209230,"HORVU1Hr1G051420","gene, protein_coding",1.4433998923074
"heading date","12_31256","chr2H",545218326,"HORVU2Hr1G075740","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DRH6]",1.4417641010852
"heading date","12_30478","chr1H",381207730,"HORVU1Hr1G051420","gene, protein_coding",1.4348337025502
"heading date","12_31208","chr1H",331415858,"HORVU1Hr1G045610","gene, protein_coding",1.4268976233138
"heading date","12_30562","chr1H",315508280,"HORVU1Hr1G043430.1","transcript, nontranslating_CDS",1.4170528537499
"heading date","12_30909","chr3H",600339395,"","",1.4141017268829
"heading date","12_30833","chr5H",611999790,"HORVU5Hr1G100770","gene, protein_coding",1.407167617755
"heading date","11_10576","chr7H",46106073,"HORVU7Hr1G026680","gene, protein_coding",1.405403569159
"heading date","12_30796","chr1H",84338596,"HORVU1Hr1G021120","gene, protein_coding",1.4045699653822
