"trait","marker","chromosome",position,"gene","feature",z-score
"grain protein","11_11153","chr6H",351737563,"HORVU6Hr1G055250","gene, protein_coding",2.1441710769552
"grain protein","12_30186","chr6H",41138051,"HORVU6Hr1G017390","gene, protein_coding",1.7683808647686
"grain protein","12_30658","chr6H",50346904,"HORVU6Hr1G019130","gene, protein_coding",1.7095024527869
"grain protein","12_30793","chr4H",15668942,"","",1.7017676093458
"grain protein","11_11205","chr6H",91401417,"HORVU6Hr1G025280","gene, protein_coding",1.6993800029323
"grain protein","11_10003","chr6H",109201337,"","",1.6542112176798
"grain protein","11_11097","chr6H",47978634,"HORVU6Hr1G018670","gene, protein_coding",1.6402449142461
"grain protein","11_20656","chr6H",151845854,"HORVU6Hr1G033350","gene, protein_coding",1.5494403207095
"grain protein","11_21070","chr4H",18337769,"HORVU4Hr1G007090","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CUK2]",1.5299537921787
"grain protein","11_20422","chr4H",18759288,"HORVU4Hr1G007170","gene, protein_coding",1.5270771918024
"grain protein","12_10395","chr4H",15277708,"HORVU4Hr1G006450","gene, protein_coding",1.5217255899228
"grain protein","11_20302","chr4H",16669632,"HORVU4Hr1G006930","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2E7E0]",1.5044040629206
"grain protein","11_20192","chr7H",33043618,"HORVU7Hr1G022570","gene, protein_coding",1.4973317091605
"grain protein","11_20109","chr4H",19753671,"HORVU4Hr1G007530","gene, protein_coding",1.4875237695209
"grain protein","11_20720","chr6H",132308036,"HORVU6Hr1G031370","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2E6G6]",1.4711009380771
"grain protein","11_10635","chr6H",546608851,"HORVU6Hr1G081850","gene, protein_coding",1.4533813386297
"grain protein","12_30569","chr6H",115112608,"HORVU6Hr1G028730","gene, protein_coding",1.4530111083847
"grain protein","11_20600","chr6H",182973407,"HORVU6Hr1G036810","gene, protein_coding",1.4424230106292
"grain protein","11_21213","chrUNK",90,"","",1.4420944286162
"grain protein","11_20651","chr6H",165918717,"HORVU6Hr1G034990","gene, protein_coding",1.430543365277
"grain protein","11_21418","chr4H",19183790,"HORVU4Hr1G007370","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CRF1]",1.4155594522337
"grain protein","12_10459","chr7H",316867142,"HORVU7Hr1G064100","gene, protein_coding",1.4096219164569
"grain protein","11_21346","chr2H",745335865,"HORVU2Hr1G119540","gene, protein_coding",1.3998577068112
"grain protein","11_21339","chrUn",191449960,"HORVU0Hr1G032130","gene, protein_coding, Tonoplast intrinsic protein [Source:UniProtKB/TrEMBL;Acc:D2KZ39]",1.3996912540245
"grain protein","12_10713","chr7H",363319046,"HORVU7Hr1G068630","gene, protein_coding",1.3994937115381
"grain protein","12_11536","chr7H",382557243,"HORVU7Hr1G070450","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2EAY2]",1.3980466969848
"grain protein","12_31140","chr7H",411695093,"HORVU7Hr1G073060","gene, protein_coding",1.3967590156474
"grain protein","11_20680","chr4H",19087562,"HORVU4Hr1G007260","gene, protein_coding",1.3930965809488
"grain protein","11_20266","chrUn",95056833,"HORVU0Hr1G018300","gene, protein_coding",1.3928264543883
"grain protein","12_30835","chr7H",363318879,"HORVU7Hr1G068630","gene, protein_coding",1.3851939236967
"grain protein","11_10954","chrUNK",30,"","",1.3844119073313
"grain protein","12_30563","chr7H",321637487,"HORVU7Hr1G064830","gene, protein_coding",1.3806552201534
