"trait","marker","chromosome",position,"gene","feature",z-score
"test weight","12_30790","chr7H",496253471,"HORVU7Hr1G082540","gene, protein_coding",4.6956196664692
"test weight","12_11409","chr1H",530746330,"HORVU1Hr1G082900","gene, protein_coding",4.049172630366
"test weight","12_30509","chr1H",522845097,"HORVU1Hr1G079380","gene, protein_coding",3.3934397540137
"test weight","SCRI_RS_106754","chr1H",522843786,"HORVU1Hr1G079380","gene, protein_coding",3.3822231211591
"test weight","12_20685","chr7H",549645656,"HORVU7Hr1G090290","gene, protein_coding",2.9723181952689
"test weight","12_30301","chr7H",556168102,"HORVU7Hr1G091150","gene, protein_coding",2.7808402540244
"test weight","12_11437","chr7H",554017857,"HORVU7Hr1G090900","gene, protein_coding",2.5320757992567
"test weight","12_11044","chr7H",583586119,"HORVU7Hr1G095720","gene, protein_coding, Peptidyl-prolyl cis-trans isomerase [Source:UniProtKB/TrEMBL;Acc:F2D4W1]",2.217419973061
"test weight","11_10111","chr1H",520009568,"HORVU1Hr1G078350","gene, protein_coding",2.170204237453
"test weight","11_10256","chr7H",217287328,"HORVU7Hr1G054440","gene, protein_coding",1.9793793572702
"test weight","11_20349","chr7H",516840406,"HORVU7Hr1G085450","gene, protein_coding",1.8233723211037
"test weight","12_20187","chr1H",520008962,"HORVU1Hr1G078350","gene, protein_coding",1.7786995161034
"test weight","12_31152","chr1H",520099770,"HORVU1Hr1G078370","gene, protein_coding",1.7664174261708
"test weight","12_21479","chr7H",587069444,"HORVU7Hr1G096250","gene, protein_coding",1.6669029366743
"test weight","11_20053","chr6H",512159550,"HORVU6Hr1G074030","gene, protein_coding",1.663440083677
"test weight","11_20460","chr7H",440882500,"HORVU7Hr1G075770","gene, protein_coding",1.6281538962004
"test weight","11_20909","chr1H",520489712,"HORVU1Hr1G078500","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CR14]",1.613928441383
"test weight","11_20267","chrUNK",170,"","",1.606362722553
"test weight","12_30998","chr7H",509844516,"","",1.6059182551932
"test weight","11_20076","chrUNK",120,"","",1.5824270268107
"test weight","11_20224","chr4H",636430559,"","",1.5820804656884
"test weight","11_10608","chr6H",527210149,"HORVU6Hr1G076810","gene, protein_coding",1.5670984883572
"test weight","12_10970","chr2H",831322,"HORVU2Hr1G000280","gene, protein_coding",1.5612395874949
"test weight","12_30344","chr7H",180474019,"HORVU7Hr1G050270","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2D600]",1.5607345277501
"test weight","11_11445","chr7H",505361481,"HORVU7Hr1G083860","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2DR72]",1.5574691454329
"test weight","11_20880","chr7H",509844383,"","",1.5545064041532
"test weight","11_10050","chr7H",78305253,"HORVU7Hr1G035450","gene, protein_coding",1.5523725334242
"test weight","11_10531","chr7H",502239891,"HORVU7Hr1G083370","gene, protein_coding",1.5519507150201
"test weight","11_10534","chr7H",448912368,"HORVU7Hr1G076780","gene, protein_coding",1.5501097535775
"test weight","12_30864","chr4H",23604127,"HORVU4Hr1G008610","gene, protein_coding, Phytochrome [Source:UniProtKB/TrEMBL;Acc:Q2I7M3]",1.5454570852533
"test weight","11_20879","chr7H",223284528,"HORVU7Hr1G055080","gene, protein_coding, NAC transcription factor [Source:UniProtKB/TrEMBL;Acc:G2ZH17]",1.5372328028931
"test weight","12_11257","chr7H",114751411,"HORVU7Hr1G041460","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CWD8]",1.5339769762992
"test weight","11_20885","chr7H",176154907,"HORVU7Hr1G049870","gene, protein_coding",1.5325255321527
"test weight","11_20999","chr3H",599557279,"HORVU3Hr1G082590","gene, protein_coding",1.5307347638179
"test weight","11_10303","chr7H",532185376,"HORVU7Hr1G088080","gene, protein_coding",1.5281228870747
"test weight","11_20042","chrUn",113178429,"","",1.5257983809022
"test weight","12_30444","chr1H",546757157,"HORVU1Hr1G090710","gene, protein_coding",1.525413813717
"test weight","12_30997","chr7H",130414063,"HORVU7Hr1G043300","gene, protein_coding",1.5234138289511
"test weight","11_21438","chr3H",599409949,"","",1.5232742382847
"test weight","11_11348","chr7H",93153567,"HORVU7Hr1G038060","gene, protein_coding",1.515611941211
"test weight","12_30694","chr1H",375075126,"HORVU1Hr1G050580","gene, protein_coding",1.5113664158169
"test weight","12_30110","chr1H",374864785,"HORVU1Hr1G050560","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2D1Q9]",1.5076391686843
"test weight","11_10269","chr4H",636352588,"HORVU4Hr1G087230","gene, protein_coding",1.5073147861307
"test weight","11_21224","chr6H",524652121,"HORVU6Hr1G076200","gene, protein_coding",1.5072805408012
"test weight","11_11461","chr7H",483574783,"HORVU7Hr1G081290","gene, protein_coding",1.5024516517306
"test weight","12_30639","chrUn",103945094,"","",1.4985936908926
"test weight","11_21419","chr7H",737146,"HORVU7Hr1G000040","gene, protein_coding",1.495207797687
"test weight","11_10526","chr1H",64113901,"HORVU1Hr1G018060","gene, protein_coding",1.4907526795167
"test weight","11_20083","chr7H",537251062,"HORVU7Hr1G088450.1","transcript, nontranslating_CDS",1.488807072538
"test weight","12_10125","chr7H",489497799,"HORVU7Hr1G081930","gene, protein_coding",1.482120001922
"test weight","11_10683","chr3H",549071802,"","",1.4819934370594
"test weight","11_20798","chr1H",375902959,"HORVU1Hr1G050640","gene, protein_coding",1.4802986344915
"test weight","12_10982","chr7H",488307674,"HORVU7Hr1G081770","gene, protein_coding",1.479223709163
"test weight","11_10470","chr1H",92433217,"HORVU1Hr1G022130","gene, protein_coding",1.4750689159128
"test weight","12_10609","chr3H",549471407,"HORVU3Hr1G072860","gene, protein_coding",1.4717756242416
"test weight","12_30879","chr7H",67729209,"HORVU7Hr1G033230","gene, protein_coding",1.4665941753985
"test weight","12_10089","chr7H",524390486,"HORVU7Hr1G087050","gene, protein_coding",1.4644838907285
"test weight","11_10259","chr1H",61118929,"HORVU1Hr1G017700","gene, protein_coding",1.461990736024
"test weight","12_30683","chr1H",69960449,"HORVU1Hr1G018740","gene, protein_coding, Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:M0XKT1]",1.4598418329322
"test weight","11_21409","chr7H",530975643,"HORVU7Hr1G087940","gene, protein_coding, Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B [Source:UniProtKB/TrEMBL;Acc:F2CVE0]",1.4594206346542
"test weight","11_20157","chr1H",467931109,"HORVU1Hr1G065570","gene, protein_coding",1.4587061109574
"test weight","11_10069","chr7H",492206525,"HORVU7Hr1G082240","gene, protein_coding, Predicted protein [Source:UniProtKB/TrEMBL;Acc:F2CZL7]",1.4575887145875
"test weight","11_20195","chr7H",111292841,"HORVU7Hr1G040740","gene, protein_coding",1.4566621433629
"test weight","11_10143","chr7H",537951420,"HORVU7Hr1G088580","gene, protein_coding",1.4544013396997
"test weight","12_30883","chrUNK",30,"","",1.4537064214849
"test weight","12_30999","chr7H",528801086,"","",1.4516528592944
"test weight","11_20695","chr3H",549472604,"HORVU3Hr1G072860","gene, protein_coding",1.4504831920965
"test weight","12_31467","chr1H",66850934,"","",1.4488506397471
"test weight","12_30589","chr7H",449173785,"HORVU7Hr1G076790","gene, protein_coding",1.4465642114865
"test weight","12_10581","chr7H",444623640,"HORVU7Hr1G076150","gene, protein_coding",1.4438247876462
