"trait","marker","chromosome",position,"gene","feature",z-score
"heading date","12_30870","chr2H",29126143,"MLOC_81154","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0ZBT3]",2.6403471664903
"heading date","12_30084","chr3H",634076447,"MLOC_56463","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0X2A8]",2.2434929540196
"heading date","12_30265","chr2H",525482637,"MLOC_78779","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2EKJ6]",2.1993151996071
"heading date","11_10685","chr2H",516165724,"","",2.1690089465841
"heading date","12_30224","chr2H",464532411,"","",2.1629289731266
"heading date","11_10191","chr2H",532288289,"","",2.1574167827689
"heading date","11_21399","chr2H",534370798,"MLOC_61069","gene, protein_coding, Transducin/WD40 repeat-like superfamily protein [Source:Projected from Arabidopsis thaliana (AT1G48870) TAIR;Acc:AT1G48870]",2.1503808913835
"heading date","11_11384","chr2H",491105224,"MLOC_36374","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0VQ86]",2.1241643016742
"heading date","11_20251","chr2H",474752381,"MLOC_5001","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2E3N4]",2.0713159798756
"heading date","11_10358","chr2H",212172560,"","",2.0549144541872
"heading date","12_10218","chr7H",40109823,"","",1.9932477176278
"heading date","11_20390","chr2H",520261737,"","",1.9815294029297
"heading date","11_20887","chr2H",520778494,"","",1.9727048149
"heading date","11_20532","chr2H",513918258,"","",1.9692638154121
"heading date","11_11178","chr2H",373690428,"MLOC_5354","gene, protein_coding, Class II aaRS and biotin synthetases superfamily protein [Source:Projected from Arabidopsis thaliana (AT5G52520) TAIR;Acc:AT5G52520]",1.9425782311687
"heading date","11_10317","chr2H",383104840,"","",1.9418975782341
"heading date","12_11008","chr1H",509765620,"","",1.9328252741772
"heading date","12_11324","chrUn",21735573,"MLOC_55530","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0WXY2]",1.9321045097456
"heading date","11_20669","chr2H",405862782,"","",1.9301415558432
"heading date","12_11504","chr2H",520773245,"MLOC_60933","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0XKT9]",1.9287053345533
"heading date","11_11354","chr2H",248552965,"MLOC_54564","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0WTK3]",1.9025062687357
"heading date","12_10099","chr2H",253188603,"MLOC_58581","gene, protein_coding, ATPase, F1 complex, gamma subunit protein [Source:Projected from Arabidopsis thaliana (AT1G15700) TAIR;Acc:AT1G15700]",1.8997066114017
"heading date","11_20039","chr2H",235963453,"","",1.89793610703
"heading date","12_10474","chr2H",238207611,"MLOC_61437","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2DSD0]",1.8978721108854
"heading date","11_20417","chr2H",254972206,"","",1.8932823942836
"heading date","11_20458","chr2H",240221324,"MLOC_60963","gene, protein_coding, Predicted protein; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F2CPM7]",1.8871121289129
"heading date","11_11133","chr2H",185517764,"MLOC_44630","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0W7S2]",1.8822723903573
"heading date","12_30561","chr2H",351833165,"","",1.8794330239069
"heading date","12_31175","chr2H",318877861,"MLOC_13689","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0US97]",1.8788811261156
"heading date","12_30582","chr2H",294631197,"","",1.8783396501272
"heading date","11_20160","chr2H",246219296,"","",1.8659288482712
"heading date","12_30514","chr2H",399549868,"","",1.8544223818054
"heading date","12_30179","chr2H",274546401,"","",1.8520227367615
"heading date","11_10624","chr2H",226796699,"","",1.8384117351463
"heading date","11_10012","chr2H",219489966,"","",1.8158660973383
"heading date","11_20585","chr2H",494259017,"","",1.8078340818693
"heading date","12_30853","chr2H",201118744,"MLOC_22807","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0VCW8]",1.806160927837
"heading date","11_10796","chr2H",192278372,"MLOC_218","gene, protein_coding, Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:M0VBI7]",1.7980600170538
